RepeatStatus,Rating,Marketing_Consent,isCash,isWeb,Briefcases,Backpacks,Clutches,Duffels,Totes,Messengers,Bifold_Wallets,Coin_Card_Holders,Passport_Wallets,Long_Wallets,Luggage_Tags,Lanyard,Bag_Straps,Bracelets,isMale,percentDiscount,Payment_Method
0,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.034013605,Stripe
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.221231884,custom
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.167222222,custom
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.17203125,custom
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.1,custom
0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.207303371,custom
0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,custom
0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.06122449,custom
0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.273972603,custom
0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.3,manual
0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,custom
0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Stripe
0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,custom
0,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Stripe
0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,custom
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.935483871,custom
1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Stripe
0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.35,manual
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.09752809,custom
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.087372881,custom
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.159090909,custom
0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Stripe
0,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Stripe
0,4,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,Stripe
1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.028735632,custom
0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Stripe
0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Stripe
0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,custom
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.021675978,manual
0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.1,Stripe
0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,custom
0,5,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0.016863406,custom
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.145,custom
0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.065296804,custom
0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Stripe
0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.1,GrabPay
