RepeatStatus,Gender,MEMBER_RATING,Accepts Marketing,Discount_Percentage,Total,Installment,Source,PersonalizationDone,NumberItemsTotal,Briefcases,Backpacks,Clutches,Duffels,Totes,Messengers,Bifold Wallets,Coin & Card Holders,Passport Wallets,Long Wallets,Luggage Tags,Lanyard,Bag Straps,Bracelets,Festive_purchase,Order_ID
0,F,5,yes,0.03,284,Cash,web,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,#5769
0,F,2,yes,0.21,141.1,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5764
0,M,2,yes,0,79,Cash,pos,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5763
0,F,2,yes,0.06,92,Cash,pos,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5762
0,F,2,yes,0.27,159,Cash,pos,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,#5761
0,M,2,yes,0.2,78.4,Cash,pos,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,#5759
0,F,2,yes,0,188,Cash,web,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#5758
0,M,2,no,0,126,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5757
0,F,4,yes,0,248,Cash,web,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5756
0,F,4,no,0.1,168.3,Cash,web,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,#5755
0,M,2,no,0.35,63.7,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5751
0,M,4,no,0,166,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5747
0,F,4,yes,0,246,Cash,web,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5746
0,M,4,no,0,370,Cash,web,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5745
0,F,2,yes,0,181,Cash,web,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,#5743
0,M,2,yes,0,437,Cash,web,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#5742
0,F,3,yes,0.1,347.4,Cash,web,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5741
0,M,4,no,0.1,230.4,Cash,web,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#5739
0,F,3,no,0,159,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5738
0,M,5,yes,0.02,583,Cash,pos,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5737
0,M,3,no,0.07,204.7,Cash,pos,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5735
0,M,0,yes,0,259,Cash,web,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5734
0,M,3,no,0.1,115.2,Cash,web,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,#5733
0,F,2,yes,0.05,186,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5729
0,M,5,yes,0,217,Cash,web,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5728
0,F,3,no,0.05,187.15,Cash,web,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,#5727
0,M,2,no,0.16,208.8,Cash,pos,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,#5725
0,F,4,no,0.07,166,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5724
0,M,5,yes,0.05,383.8,Cash,web,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5717
0,M,3,yes,0.05,148.2,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5716
0,F,4,yes,0.05,45.6,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5714
0,F,4,yes,0.05,224.2,Cash,web,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#5713
0,M,4,yes,0,178,Installment,web,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5712
0,F,5,yes,0.05,283.1,Installment,web,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,#5709
0,F,3,no,0.06,176,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5705
0,M,2,yes,0.07,185,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5704
0,F,5,yes,0.05,347.7,Cash,web,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5703
0,M,2,yes,0.05,151.05,Cash,web,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,#5696
0,F,4,no,0.05,120.65,Cash,web,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5695
0,F,5,no,0,99,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5694
0,F,5,yes,0.05,279.3,Cash,web,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5693
0,M,2,yes,0,216,Cash,web,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5692
0,M,2,no,0.2,78.4,Cash,pos,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5691
0,F,5,no,0,69,Cash,web,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5690
0,F,2,no,0.1,203.4,Installment,web,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5689
0,M,5,yes,0.1,228.6,Cash,web,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5688
0,F,3,yes,0.1,169.2,Cash,web,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5687
